2026-07-29								
股票代码	股票名称	当前收盘价	5日ATR	首道重力墙(元)	墙体装甲厚度	触网净空间(元)	ATR波动跨度	★第一浪利润期望
"603381.SS"	"永臻股份"	14.4	0.570619055	23.2	5格	8.8	15.4	61.11
"002537.SZ"	"海联金汇"	5.72	0.238057981	9.14	5格	3.42	14.4	59.79
"002467.SZ"	"二六三"	4.57	0.230859697	7.28	5格	2.71	11.7	59.3
"000678.SZ"	"襄阳轴承"	8.1	0.333641048	12.9	5格	4.8	14.4	59.26
"605108.SS"	"同庆楼"	12.47	0.599609587	19.8	5格	7.33	12.2	58.78
"600650.SS"	"锦江在线"	10.15	0.366153041	16.09	5格	5.94	16.2	58.52
"603737.SS"	"三棵树"	24.59	1.410559078	38.75	5格	14.16	10	57.58
"003038.SZ"	"鑫铂股份"	10.11	0.338938391	15.92	5格	5.81	17.1	57.47
"603086.SS"	"先达股份"	5.31	0.18603447	8.32	5格	3.01	16.2	56.69
"603248.SS"	"锡华科技"	18.4	0.713054402	28.79	5格	10.39	14.6	56.47
"600284.SS"	"浦东建设"	5.07	0.150663036	7.91	5格	2.84	18.9	56.02
"001233.SZ"	"海安集团"	43.34	1.636571687	67.5	5格	24.16	14.8	55.75
"601226.SS"	"华电科工"	5.99	0.1977227	9.28	5格	3.29	16.6	54.92
"002201.SZ"	"九鼎新材"	7.63	0.392585361	11.82	5格	4.19	10.7	54.91
"000061.SZ"	"农 产 品"	5.88	0.198389366	9.1	5格	3.22	16.2	54.76
"002075.SZ"	"沙钢股份"	3.63	0.118667185	5.6	5格	1.97	16.6	54.27
"002649.SZ"	"博彦科技"	8.79	0.329637937	13.48	5格	4.69	14.2	53.36
"002651.SZ"	"利君股份"	7.7	0.281295122	11.77	5格	4.07	14.5	52.86
"001221.SZ"	"悍高集团"	39.66	1.98714808	60.5	5格	20.84	10.5	52.55
"600986.SS"	"浙文互联"	7.08	0.415428676	10.78	5格	3.7	8.9	52.26
"600375.SS"	"汉马科技"	3.98	0.135274314	6.06	5格	2.08	15.4	52.26
"601956.SS"	"东贝集团"	4.67	0.148444546	7.1	5格	2.43	16.4	52.03
"603716.SS"	"塞力医疗"	15.81	1.56465219	23.97	5格	8.16	5.2	51.61
"603863.SS"	"松炀资源"	12.97	0.679297005	19.64	5格	6.67	9.8	51.43
"002098.SZ"	"浔兴股份"	6.56	0.242458573	9.92	5格	3.36	13.9	51.22
"002212.SZ"	"天融信"	6.6	0.372539029	9.96	5格	3.36	9	50.91
"603958.SS"	"哈森股份"	13.34	0.834882402	20.08	5格	6.74	8.1	50.52
"002355.SZ"	"兴民智通"	4.35	0.186483958	6.54	5格	2.19	11.7	50.34
"603612.SS"	"索通发展"	16.9	0.699970692	25.37	5格	8.47	12.1	50.12
"603366.SS"	"日出东方"	6.69	0.217154595	10.01	5格	3.32	15.3	49.63
"600570.SS"	"恒生电子"	21.87	0.802981087	32.7	5格	10.83	13.5	49.52
"002703.SZ"	"浙江世宝"	13.28	0.66628785	19.85	5格	6.57	9.9	49.47
"001335.SZ"	"信凯科技"	29.94	1.294178639	44.74	5格	14.8	11.4	49.43
"600802.SS"	"福建水泥"	4.18	0.192481554	6.23	5格	2.05	10.7	49.04
"003005.SZ"	"竞业达"	12.24	0.515118757	18.24	5格	6	11.6	49.02
"000655.SZ"	"金岭矿业"	6.68	0.202892568	9.94	5格	3.26	16.1	48.8
"002660.SZ"	"茂硕电源"	6.42	0.280891888	9.48	5格	3.06	10.9	47.66
"002195.SZ"	"岩山科技"	6.69	0.420460291	9.86	5格	3.17	7.5	47.38
"002614.SZ"	"奥佳华"	4.67	0.137925631	6.88	5格	2.21	16	47.32
"002859.SZ"	"洁美科技"	59.59	5.989155286	87.32	5格	27.73	4.6	46.53
"002835.SZ"	"同为股份"	11.57	0.449216646	16.91	5格	5.34	11.9	46.15
"002383.SZ"	"合众思壮"	6.77	0.24913443	9.86	5格	3.09	12.4	45.64
"002209.SZ"	"达 意 隆"	10.66	0.49537082	15.47	5格	4.81	9.7	45.12
"002426.SZ"	"胜利精密"	2.54	0.157325565	3.68	5格	1.14	7.2	44.88
"601567.SS"	"三星电气"	16.12	0.715773665	23.35	5格	7.23	10.1	44.85
"603628.SS"	"清源股份"	9.25	0.290355074	13.38	5格	4.13	14.2	44.65
"002862.SZ"	"实丰文化"	12.88	0.596681445	18.63	5格	5.75	9.6	44.64
"605580.SS"	"恒盛能源"	16.58	0.994649255	23.98	5格	7.4	7.4	44.63
"002657.SZ"	"中科金财"	14.39	0.695606392	20.81	5格	6.42	9.2	44.61
"002659.SZ"	"凯文教育"	4.15	0.195733371	6	5格	1.85	9.5	44.58
"000720.SZ"	"新能泰山"	3.47	0.217288919	5.01	5格	1.54	7.1	44.38
"002729.SZ"	"好利科技"	13.19	0.710035948	19	5格	5.81	8.2	44.05
"600692.SS"	"亚通股份"	5.62	0.221058078	8.08	10格	2.46	11.1	43.77
"002165.SZ"	"红 宝 丽"	6.55	0.452008112	9.35	5格	2.8	6.2	42.75
"600860.SS"	"京城股份"	7.95	0.28756604	11.33	5格	3.38	11.8	42.52
"002139.SZ"	"拓邦股份"	9.79	0.330462228	13.95	5格	4.16	12.6	42.49
"603833.SS"	"欧派家居"	35.33	1.682232427	50.29	5格	14.96	8.9	42.34
"603123.SS"	"翠微股份"	9.12	0.524736937	12.96	5格	3.84	7.3	42.11
"002857.SZ"	"三晖电气"	15.5	0.825085485	22.01	5格	6.51	7.9	42
"000798.SZ"	"中水渔业"	7.86	0.273089367	11.16	5格	3.3	12.1	41.98
"603421.SS"	"鼎信通讯"	5.51	0.226941357	7.82	5格	2.31	10.2	41.92
"605488.SS"	"福莱新材"	23.39	1.375208369	33.13	5格	9.74	7.1	41.64
"002735.SZ"	"王子新材"	10.8	0.626007421	15.29	4格	4.49	7.2	41.57
"601616.SS"	"广电电气"	3.45	0.141385716	4.88	5格	1.43	10.1	41.45
"600630.SS"	"龙头股份"	6.38	0.238017591	9	5格	2.62	11	41.07
"002875.SZ"	"安奈儿"	12.28	0.685762889	17.32	5格	5.04	7.3	41.04
"600371.SS"	"万向德农"	6.54	0.230708372	9.22	5格	2.68	11.6	40.98
"002405.SZ"	"四维图新"	6.49	0.202899539	9.14	5格	2.65	13.1	40.83
"605500.SS"	"森林包装"	6.47	0.22455142	9.1	10格	2.63	11.7	40.65
"603013.SS"	"亚普股份"	16.9	0.688216373	23.76	5格	6.86	10	40.59
"003012.SZ"	"东鹏控股"	4.73	0.153794184	6.65	5格	1.92	12.5	40.59
"002869.SZ"	"金溢科技"	15.67	0.859519988	22	5格	6.33	7.4	40.4
"603666.SS"	"亿嘉和"	20.47	1.264706346	28.67	5格	8.2	6.5	40.06
"603500.SS"	"祥和实业"	8.44	0.378382903	11.82	5格	3.38	8.9	40.05
